"Community safety and social inclusion > Welsh Index of Multiple Deprivation > WIMD indicator data by age > Indicator data by Lower Layer Super Output Areas - Overcrowded Households"
""

Filters:
Indicator: People living in overcrowded households (bedrooms measure) (percentage)

"","","All Ages ","0- 15 ","0 - 18 ","16 - 64 ",65+ ," 0 - 4 ","5 - 9 ","10 - 15 ","16 - 18 ","19 - 24 ","25 - 29 ","30 -34 ","35 - 39 ","40 - 44 ","45 - 49 ","50 - 54 ","55 - 59 ","60 - 64 ","65 - 69 ","70 - 74 ","75 - 79 ","80 - 84 ",85+ 
"Isle of Anglesey 009A ","W01000007 ",5.7022809124,7.3643410853,7.1428571429,6.2618595825,2.8248587571,6.4102564103,6.1728395062,9.0909090909,6.25,10.465116279,8.1081081081,11.111111111,3.9215686275,7.8947368421,7.6335877863,5.9701492537,3.8167938931,2.5806451613,2.4193548387,4.9382716049,1.4492753623,4.5454545455,0
"Isle of Anglesey 009B ","W01000025 ",5.8531746032,10.263929619,10.28708134,6.1526479751,1.0230179028,9.2592592593,7.0796460177,14.166666667,10.3896103896104,16.463414634,5.1546391753,1.8018018018,6.4220183486,11.486486486,2.7932960894,3.2467532468,2.3622047244,0,1.7699115044,1.0309278351,0,1.7857142857,0
"Isle of Anglesey 009C ","W01000027 ",5.7842046719,7.5987841945,9.067357513,6.7190226876,0.6191950464,4.958677686,7.6923076923,10,17.5438596491228,19.285714286,7.2916666667,4.2735042735,6.1403508772,2.4,6.0606060606,4.4642857143,3.2,0.78125,0.8620689655,0,2,0,0
"Isle of Anglesey 009D ","W01000038 ",6.4240790656,8.1300813008,9.8214285714,7.8136739294,1.711026616,11.2,6.6666666667,6.4516129032,17.7215189873418,24.060150376,8.2474226804,4.3956043956,3.3333333333,7.0967741935,7.2727272727,5.2287581699,4.8780487805,1.724137931,2.5806451613,0,1.8691588785,2.6666666667,2.7027027027
"Gwynedd 001A ","W01000062 ",11.662198391,14.583333333,14.024390244,12.075769534,0,10.769230769,8.5106382979,31.25,10,12.10106383,20,13.793103448,15.294117647,10.638297872,2.5,5.7692307692,0,0,0,0,0,0,0
"Gwynedd 001B ","W01000076 ",7.9501915709,13.114754098,14.379084967,8.6842105263,0.6172839506,7.8947368421,8.1081081081,21.276595745,19.3548387096774,7.0967741935,17.647058824,17.5,6.5217391304,10.714285714,6.25,6,2.1739130435,4.6153846154,0,0,3.8461538462,0,0
"Gwynedd 001C ","W01000077 ",10.598413843,18.709677419,18.085106383,11.164581328,1.0362694301,13.432835821,18.421052632,26,15.1515151515152,11.879049676,18.320610687,14.942528736,10.714285714,7.6923076923,7.3529411765,2.380952381,2.3255813953,1.9607843137,0,2.380952381,1.9607843137,0,0
"Gwynedd 001D ","W01000091 ",7.4561403509,11.983471074,11.846689895,7.2164948454,0,13.953488372,7.1428571429,15.277777778,11.1111111111111,11.464968153,9.4117647059,3.3333333333,14.545454545,6.4814814815,2.2222222222,4.6875,3.7735849057,1.6949152542,0,0,0,0,0
"Gwynedd 001E ","W01000092 ",14.951094551,24.107142857,23.376623377,15.405260333,4.0697674419,22.222222222,34.375,18.181818182,21.4285714285714,15.275590551,21.568627451,17.24137931,25.806451613,12.903225806,10.638297872,10.714285714,0,2.2222222222,4.7619047619,0,0,0,9.4339622642
"Gwynedd 002A ","W01000064 ",7.9502433748,11.594202899,11.428571429,8.126603935,1.5037593985,8.8235294118,12.949640288,12.949640288,10.5263157894737,17.435897436,8.3969465649,5.8252427184,5.303030303,5.303030303,6.5420560748,8.6206896552,2.7027027027,2.9126213592,3.3707865169,1.8181818182,0,0,0
"Gwynedd 002B ","W01000072 ",7.2594259989,7.7669902913,7.4270557029,8.9539007092,1.1764705882,11.363636364,4.3010752688,7.8125,5.88235294117647,21.153846154,13.580246914,9.8591549296,4.854368932,5.9701492537,6.8965517241,2.0833333333,0.9900990099,0,2.4390243902,1.3333333333,1.3157894737,0,0
"Gwynedd 002C ","W01000075 ",8.7919463087,9.8360655738,9.1228070175,9.9236641221,1.5151515152,12.658227848,7.9365079365,8.8235294118,4.8780487804878,13.96011396,15.079365079,9.3023255814,2.7777777778,4.5454545455,10.126582278,4.8192771084,10.909090909,2.9850746269,3.9215686275,0,0,2.7777777778,0
"Gwynedd 002D ","W01000090 ",6.9335239457,8.8235294118,8.0831408776,6.968641115,2.4390243902,8.4745762712,9.1743119266,8.843537415,3.38983050847458,7.5,11.235955056,9.0909090909,2.0833333333,7.5471698113,8.2474226804,6.1728395062,10.810810811,1.6129032258,3.1746031746,3.0303030303,0,3.4482758621,0
"Gwynedd 002E ","W01000102 ",5.3913043478,8.5201793722,7.2519083969,5.2917232022,2.1052631579,10.810810811,8.8235294118,6.1728395062,0,19.76744186,5.9701492537,5.8823529412,2.6315789474,6.8181818182,3.4090909091,1.0416666667,1.6129032258,1.4925373134,0,0,0,12.121212121,0
"Gwynedd 003A ","W01000050 ",5.8441558442,8.6956521739,8.282208589,6.1130334487,1.646090535,12.328767123,10,5.3097345133,6,12.5,16.923076923,10.447761194,2.4691358025,3.7037037037,6.9565217391,7.619047619,1.0638297872,0.8474576271,0,1.4285714286,6.5217391304,0,0
